channelsToEnergies	channelsToEnergies_intrp
581.22076	581.49744
581.37415	581.65088
581.52765	581.80444
581.68127	581.95813
581.83496	582.11182
581.98871	582.26562
582.14252	582.41949
582.29645	582.57349
582.45044	582.72748
582.60449	582.88159
582.75867	583.03577
582.9129	583.19006
583.0672	583.34442
583.22162	583.4989
583.3761	583.65338
583.53064	583.80798
583.6853	583.96265
583.84003	584.11743
583.99487	584.27234
584.14972	584.42725
584.30469	584.58228
584.45978	584.73737
584.61493	584.89258
584.77014	585.04779
584.92542	585.20312
585.08081	585.35852
585.23627	585.51404
585.39185	585.66968
585.54749	585.82532
585.70319	585.98108
585.85901	586.13696
586.01489	586.29285
586.17084	586.44885
586.3269	586.60498
586.48303	586.76111
586.63922	586.91736
586.79553	587.07373
586.9519	587.23016
587.1084	587.38672
587.26495	587.54327
587.42157	587.69995
587.57831	587.85669
587.73511	588.01355
587.89197	588.17047
588.04895	588.32751
588.20599	588.48456
588.3631	588.64172
588.52032	588.79895
588.67761	588.9563
588.83502	589.11377
588.99249	589.27124
589.15002	589.42883
589.30768	589.58655
589.46539	589.74432
589.62323	589.90222
589.78113	590.06012
589.93909	590.21814
590.09717	590.37622
590.25531	590.53442
590.41351	590.69269
590.57184	590.85107
590.73022	591.00952
590.88873	591.16803
591.0473	591.32666
591.20593	591.48535
591.36469	591.6441
591.5235	591.80298
591.68243	591.96191
591.84143	592.12097
592.00049	592.28009
592.15967	592.43933
592.31891	592.59863
592.47827	592.758
592.6377	592.91748
592.79718	593.07703
592.95679	593.23669
593.11652	593.39636
593.27625	593.55615
593.4361	593.71606
593.59607	593.8761
593.7561	594.03613
593.9162	594.19629
594.07642	594.35657
594.23669	594.51685
594.39703	594.67725
594.5575	594.83777
594.71808	594.99841
594.87866	595.15906
595.03943	595.31982
595.2002	595.48065
595.36108	595.6416
595.52209	595.80261
595.68317	595.96375
595.8443	596.12494
596.00555	596.28625
596.16687	596.44763
596.32831	596.60907
596.48981	596.77063
596.65137	596.93225
596.81305	597.09393
596.97479	597.25574
597.13666	597.41766
597.29865	597.57965
597.46063	597.7417
597.62274	597.90387
597.78497	598.06616
597.94727	598.22845
598.10962	598.39087
598.27209	598.55341
598.43469	598.716
598.59729	598.87866
598.76007	599.0415
598.92285	599.20435
599.08575	599.36731
599.24878	599.53033
599.41187	599.69348
599.57507	599.85669
599.73834	600.02002
599.90167	600.18341
600.06512	600.34692
600.22864	600.5105
600.39227	600.67413
600.55597	600.83789
600.71979	601.00171
600.88367	601.16565
601.04767	601.32971
601.21173	601.49377
601.37585	601.65796
601.5401	601.82227
601.70447	601.98669
601.8689	602.15112
602.03339	602.31567
602.198	602.48035
602.36273	602.64514
602.52753	602.80994
602.69238	602.97485
602.85736	603.13989
603.0224	603.30499
603.18756	603.47021
603.35278	603.6355
603.51813	603.80084
603.68353	603.96631
603.84906	604.13184
604.01465	604.29749
604.18036	604.46326
604.34613	604.62909
604.51202	604.79504
604.67798	604.961
604.84399	605.12708
605.01019	605.29333
605.17639	605.45959
605.34271	605.62598
605.50916	605.79242
605.67566	605.95898
605.84229	606.12561
606.00897	606.29236
606.17578	606.45923
606.34265	606.62616
606.50964	606.79321
606.6767	606.96027
606.84381	607.12744
607.01111	607.2948
607.17841	607.46216
607.34583	607.62964
607.51337	607.79718
607.68097	607.96484
